Author,Year,DOI,Male,Female
"Abbiss, Burnett, Nosaka, Green, Foster and Laursen",2010,,9,
"Akimov, Andreev, Kalenov, Kirdin, Son'kin and Tonevitsky",2010,,53,
"Aldayel, Jubeau, Mcguigan and Nosa",2010,,12,
"Amorim, Yamada, Robergs and Schneider",2010,10.1139/h10-040,8,2
"Armstrong, Johnson, Casa, Ganio, Mcdermott, Yamamoto, Lopez and Emmanuel",2010,10.4085/1062-6050-45.2.117,10,
"Armstrong, Seely, Kilby, Journeay and Kenny",2010,10.3357/asem.2733.2010,8,
"Bahammam, Alrajeh, Albabtain, Bahammam and Sharif",2010,10.1016/j.appet.2010.01.011,6,
"Bandelow, Maughan, Shirreffs, Ozgunen, Kurdak, Ersoz, Binnet and Dvorak",2010,10.1111/j.1600-0838.2010.01220.x,20,
"Batchelder, Krause, Seegmiller and Starkey",2010,10.1519/JSC.0b013e3181c49114,17,
"Bonetti, Hopkins and Jeukendrup",2010,,11,
"Brazaitis, Kamandulis, Skurvydas and Daniuseviciute",2010,10.1016/j.apergo.2010.04.001,8,
"Burdon, O'connor, Gifford, Shirreffs, Chapman and Johnson",2010,10.1080/02640414.2010.489197,7,
"Cain, Dennison, Zeitzer, Guzik, Khalsa, Santhi, Schoen, Czeisler and Duffy",2010,10.1177/0748730410374943,28,28
"Casa, Stearns, Lopez, Ganio, Mcdermott, Walker Yeargin, Yamamoto, Mazerolle, Roti, Armstrong and Maresh",2010,10.4085/1062-6050-45.2.147,9,8
"Chen, Shih and Chi",2010,10.1177/0018720810376514,12,12
"Coca, Roberge, Williams, Landsittel, Powell and Palmiero",2010,10.1080/15459620903455722,8,2
"Cochrane, Stannard, Firth and Rittweger",2010,10.1111/j.1475-097X.2010.00931.x,5,5
"Coelho, Ferreira-Junior, Martini, Borba, Coelho, Passos, Da Fonseca, Moura-Lima, Prado and Rodrigues",2010,,10,
"Cooper, Berry, Mcmurray, Hosick and Hackney",2010,10.3357/asem.2655.2010,8,
"Daniusevi_i_t_, Brazaitis, Skurvydas, Sipavi_ien_, Linonis, Pie_aitien_ and Eimantas",2010,,,9
"Darwent, Ferguson, Sargent, Paech, Williams, Zhou, Matthews, Dawson, Kennaway and Roach",2010,10.3109/07420528.2010.488621,11,
"Dewhurst, Macaluso, Gizzi, Felici, Farina and De Vito",2010,10.1007/s00421-009-1245-9,,27
"Domitrovich, Cuddy and Ruby",2010,10.4085/1062-6050-45.6.594,3,4
"Duffield, Green, Castle and Maxwell",2010,10.1249/MSS.0b013e3181b675da,8,
"Ely, Cheuvront, Kenefick and Sawka",2010,10.1249/MSS.0b013e3181adb9fb,8,
Fletcher,2010,10.1519/JSC.0b013e3181ceec0f,16,
Fletcher,2010,10.1007/s00421-010-1386-x,24,
Fletcher and Monte-Colombo,2010,10.1139/h09-125,21,
"Ftaiti, Kacem, Jaidane, Tabka and Dogui",2010,10.1016/j.apergo.2010.01.008,,7
"Gagnon, Lemire, Jay and Kenny",2010,10.4085/1062-6050-45.2.157,20,
"Gillis, House and Tipton",2010,10.1007/s00421-010-1533-4,12,
"Gompper, Bromundt, Orgul, Flammer and Krauchi",2010,10.3109/07420528.2010.520786,,21
"Goto, Okazaki, Kamijo, Ikegawa, Masuki, Miyagawa and Nose",2010,10.1152/japplphysiol.00577.2010,18,
"Greiner, Clegg, Walsh and White",2010,10.1007/s00421-010-1352-7,5,3
"Grimaldi, Agati, Pierangeli, Franceschini, Guaraldi, Barletta, Vandi, Cevoli, Plazzi, Montagna and Cortelli",2010,10.3109/07420528.2010.504907,7,3
"Hansen, Geving and Reinertsen",2010,10.1080/10803548.2010.11076864,13,1
"Hashim, Hussin, Keong and Ghosh",2010,,23,
"Hostler, Bednez, Kerin, Reis, Kong, Morley, Gallagher and Suyama",2010,10.3109/10903120903524963,16,2
"Hostler, Reis, Bednez, Kerin and Suyama",2010,10.3109/10903121003770654,14,4
"Hue, Antoine-Jonville, Galy and Blonc",2010,10.1016/j.jsams.2009.11.004,7,
"Ichinose-Kuwahara, Inoue, Iseki, Hara, Ogura and Kondo",2010,10.1113/expphysiol.2010.053710,17,20
"Isojarvi, Keinanen-Kiukaanniemi, Kallio, Kaikkonen, Jamsa, Korpelainen and Korpelainen",2010,10.1249/MSS.0b013e3181cb8331,14,26
"Jay, Ducharme, Webb, Reardon and Kenny",2010,10.1152/ajpregu.00546.2009,33,23
"Johnson, Ganio, Lee, Lopez, Mcdermott, Casa, Maresh and Armstrong",2010,10.4085/1062-6050-45.2.107,10,
"Joo-Young, Wakabayashi, Wijayanto, Tochihara and Lee",2010,,19,
"Kenefick, Cheuvront, Palombo, Ely and Sawka",2010,10.1152/japplphysiol.00135.2010,32,
Kenny and Gagnon,2010,10.1152/ajpregu.00102.2010,9,
"Kenny, Gagnon, Dorman, Hardcastle and Jay",2010,10.1007/s00421-009-1266-4,16,
"Keramidas, Musizza, Kounalakis and Mekjavic",2010,10.1007/s00421-010-1374-1,18,
"Kounalakis, Botonis, Koskolou and Geladas",2010,10.1007/s00421-009-1345-6,16,
"Kubo, Takahashi, Takeyama, Matsumoto, Ebara, Murata, Tachi and Itani",2010,10.3109/07420528.2010.489502,12,
"Kuennen, Gillum, Amorim, Kwon and Schneider",2010,10.1007/s00421-009-1335-8,10,
"Kwon, Robergs, Kravitz, Gurney, Mermier and Schneider",2010,10.1249/MSS.0b013e3181d34a53,16,
"Lee, Nio, Lim, Teo and Byrne",2010,10.1007/s00421-010-1405-y,31,
"Magalhães, Amorim, Passos, Fonseca, Oliveira, Lima, Guimarães, Ferreira-Júnior, Martini, Lima, Soares, Oliveira and Rodrigues",2010,10.1007/s12192-010-0197-7,9,
"Magalhaes, Passos, Fonseca, Oliveira, Ferreira-Junior, Martini, Lima, Guimaraes, Barauna, Silami-Garcia and Rodrigues",2010,10.2114/jpa2.29.1,9,
"Malan, Dawson, Goodman and Peeling",2010,10.1016/j.jsams.2009.03.009,5,5
"Merry, Ainslie and Cotter",2010,10.1111/j.1748-1716.2009.02051.x,12,
"Mohr, Mujika, Santisteban, Randers, Bischoff, Solano, Hewitt, Zubillaga, Peltola and Krustrup",2010,10.1111/j.1600-0838.2010.01217.x,20,
"Moncada-Jiménez, Plaisance, Araya-Ramírez, Taylor, Ratcliff, Mestek, Grandjean and Aragonvargas",2010,,11,
"Mora-Rodriguez, Del Coso, Hamouti, Estevez and Ortega",2010,10.1007/s00421-010-1436-4,14,6
"Muhamad, Chen Chee, Ooi Foong, Abdullah and Lam",2010,,12,
Mundel and Jones,2010,10.1007/s00421-009-1180-9,9,
"Nagano, Tsutsui, Monji, Sogabe, Idota and Horie",2010,10.1539/joh.l9160,6,
"Naperalsky, Ruby and Slivka",2010,10.1055/s-0030-1254083,9,
"Neville, Gant and Folland",2010,10.1111/j.1600-0838.2009.00952.x,32,
"Nolte, Noakes and Van Vuuren",2010,10.1249/MSS.0b013e3181d6f9d0,13,2
"Ozgunen, Kurdak, Maughan, Zeren, Korkmaz, Yazici, Ersoz, Shirreffs, Binnet and Dvorak",2010,10.1111/j.1600-0838.2010.01219.x,11,
Peiffer,2010,,10,
"Peiffer, Abbiss, Watson, Nosaka and Laursen",2010,10.1016/j.jsams.2008.08.003,10,
"Ping, Keong and Bandyopadhyay",2010,,9,
"Pritchett, Bishop, Yang, Pritchett, Green, Katica and Del Pozzi",2010,10.1007/s00421-010-1371-4,3,4
"Rasmussen, Nybo, Volianitis, Moller, Secher and Gjedde",2010,10.1111/j.1748-1716.2010.02084.x,8,
"Sargent, Ferguson, Darwent, Kennaway and Roach",2010,10.3109/07420528.2010.488901,11,
"Scheadler, Garver, Kirby and Devor",2010,,6,
Scroop and Shipp,2010,10.1249/MSS.0b013e3181ad0117,23,
"Sedlock, Lee, Flynn, Park and Kamimori",2010,10.1123/ijsnem.20.4.336,9,
"Siegel, Mate, Brearley, Watson, Nosaka and Laursen",2010,10.1249/MSS.0b013e3181bf257a,10,
"Silva, Wang, Ronda, Wyatt and Duffy",2010,10.1093/sleep/33.4.481,10,10
Skein and Duffield,2010,10.1080/02640410903473836,9,
"Smith, Crabtree, Bilzon and Walsh",2010,10.1088/0967-3334/31/1/007,8,
"Souissi, Driss, Chamari, Vandewalle, Davenne, Gam, Fillard and Jousselin",2010,10.3109/07420528.2010.483157,12,
"Stanley, Leveritt, Peake and Peake",2010,,10,
"Stein, Makkink and Vincent-Lambert",2010,10.3109/10903120903349747,15,4
"Taylor, Barker, Cronin, Gill, Chapman and Sheppard",2010,,8,
"Tipton, Gibbs, Brooks, De Sa and Reilly",2010,,26,
"Trinity, Pahnke, Lee and Coyle",2010,10.1152/japplphysiol.00377.2010,11,
"Tyler, Wild and Sunderland",2010,10.1007/s00421-010-1567-7,7,
"Van Den Heuvel, Kerry, Van Der Velde, Patterson and Taylor",2010,10.3357/asem.2854.2010,8,
"Watson, Head, Pitiot, Morris and Maughan",2010,10.1249/MSS.0b013e3181e39788,8,
"Wijers, Saris and Van Marken Lichtenbelt",2010,10.1038/oby.2010.74,20,
"Wright, Selkirk and Mclellan",2010,10.1007/s00421-009-1294-0,23,
"Arnardottir, Thorleifsdottir, Svanborg, Olafsson and Gislason",2010,10.1111/j.1365-2869.2009.00743.x,15,
"Stachenfeld, Yeckel and Taylor",2010,10.1249/MSS.0b013e3181d8cf68,,7
Webborn,2010,,8,
Akimov and Son'kin,2011,,20,
"Ali, Gardiner, Foskett and Gant",2011,10.1111/j.1600-0838.2009.01055.x,,10
"Araujo, Waterhouse, Edwards, Santos, Tufik and Túlio De Mello",2011,,8,
Atkins and Thompson,2011,,10,
"Bagley, Judelson, Spiering, Beam, Bartolini, Washburn, Carney, Muloz, Yeargin and Casa",2011,,13,12
Bain and Jay,2011,10.1007/s00421-010-1743-9,8,
"Bain, Deren and Jay",2011,10.1007/s00421-010-1788-9,12,
"Bandyopadhyay, Ping and Keong",2011,,9,
"Biondin, Maneshi, Imbeault and Haman",2011,,6,
"Bogerd, Rechsteiner, Wust, Rossi and Bruhwiler",2011,10.1093/annhyg/meq099,12,
"Brazaitis, Skurvydas, Vadopalas, Daniuseviciute and Senikiene",2011,,10,
"Brunner-Ziegler, Strasser and Haber",2011,10.1519/JSC.0b013e3181d640da,20,
"Buller, Castellani, Roberts, Hoyt and Jenkins",2011,10.1109/iembs.2011.6090893,15,
"Buono, Tabor and White",2011,10.1152/ajpregu.00228.2010,8,6
"Byrne, Owen, Cosnefroy and Lee",2011,10.4085/1062-6050-46.6.592,7,
"Cahill, Kalmar, Pretorius, Gardiner and Giesbrecht",2011,10.1113/expphysiol.2010.054973,6,1
"Castagna, Brisswalter, Vallee and Blatteau",2011,10.1007/s00421-010-1723-0,24,
"Castle, Mackenzie, Maxwell, Webborn and Watt",2011,,8,
"Cathcart, Murgatroyd, Mcnab, Whyte and Easton",2011,10.1007/s00421-011-1831-5,24,2
"Chou, Tochihara, Ismail and Lee",2011,,8,
"Chtourou, Zarrouk, Chaouachi, Dogui, Behm, Chamari, Hug and Souissi",2011,10.3109/07420528.2011.596295,22,
"Clarke, Maclaren, Reilly and Drust",2011,10.1007/s00421-010-1771-5,12,
"Colburn, Suyama, Reis, Morley, Goss, Chen, Moore and Hostler",2011,10.3109/10903127.2010.545482,23,2
Conrado and Munin,2011,10.1111/j.1473-2165.2010.00537.x,,42
"Corbalan-Tutau, Madrid, Ordovas, Smith, Nicolas and Garaulet",2011,10.3109/07420528.2011.574766,,70
"Coso, Hamouti, Ortega, Fernández-Elías, Mora-Rodríguez, Coso, Fernández-Elías and Mora-Rodríguez",2011,,22,6
Cuddy and Ruby,2011,10.1016/j.wem.2011.01.008,56,
"Cui, Shibasaki, Low, Keller, Davis and Crandall",2011,10.1007/s10286-011-0126-6,7,4
"Daanen, Jonkman, Layden, Linnane and Weller",2011,10.1055/s-0031-1279767,15,
"Duffield, Bird and Ballard",2011,,6,2
"Duffy, Cain, Chang, Phillips, Münch, Gronfier, Wyatt, Dijk, Wright and Czeisler",2011,10.1073/pnas.1010666108,105,52
Dugas,2011,10.1097/01.jsm.0000407930.13102.42,10,
"Eijsvogels, Veltmeijer, Schreuder, Poelkens, Thijssen and Hopman",2011,10.1038/ijo.2010.277,48,45
"Ely, Ely and Cheuvront",2011,10.1123/ijsnem.21.1.65,10,
"Farris, Trewartha and Mcguigan",2011,10.1016/j.jbiomech.2010.12.015,12,
"Freedman, Kruger and Tancer",2011,10.1097/gme.0b013e31820ccae9,,32
Gagnon and Kenny,2011,10.1113/jphysiol.2011.219220,9,9
Gagnon and Kenny,2011,10.1152/ajpregu.00642.2010,10,
"Ganio, Johnson, Klau, Anderson, Casa, Maresh, Volek and Armstrong",2011,10.1007/s00421-010-1734-x,11,
"Gao, Kuklane and Holmer",2011,10.1007/s00421-010-1748-4,6,
"Garcia-Manso, Rodriguez-Matoso, Rodriguez-Ruiz, Sarmiento, De Saa and Calderon",2011,10.1097/PHM.0b013e31820ff352,12,
"Goekint, Roelands, Heyman, Njemini and Meeusen",2011,10.1016/j.neulet.2011.03.001,11,
"Goh, Laursen, Dascombe and Nosaka",2011,10.1007/s00421-010-1705-2,10,
"Gonzales, Hagin, Guillot, Placet and Groslambert",2011,10.1519/JSC.0b013e318215fc30,10,
"Gray, Soderlund, Watson and Ferguson",2011,10.1007/s00424-011-1032-4,6,
"Green, Laurent, Bacon, Oneal, Davis and Bishop",2011,10.1519/JSC.0b013e3181ddf6a2,7,
"Hammouda, Chtourou, Chahed, Ferchichi, Kallel, Miled, Chamari and Souissi",2011,,12,
Hayashi,2011,,10,
"Hayashi, Honda, Miyakawa, Fujii, Ichinose, Koga, Kondo and Nishiyasu",2011,10.1152/japplphysiol.00010.2010,10,3
"Heikens, Gorbach, Eden, Savastano, Chen, Skarulis and Yanovski",2011,10.3945/ajcn.110.006270,38,74
"Horn, Gutzmer, Fahs, Petruzzello, Goldstein, Fahey, Fernhall and Smith",2011,10.3109/10903127.2010.545474,21,
"Houghton, Dawson, Rubenson and Tobin",2011,10.1080/02640414.2011.560174,9,
"Hunter, Albertus-Kajee and St Clair Gibson",2011,10.1016/j.jelekin.2011.06.002,7,
"Ikegawa, Kamijo, Okazaki, Masuki, Okada and Nose",2011,10.1152/japplphysiol.01193.2010,7,
"Imai, Okazaki, Matsumura, Suzuki, Miyazawa, Suzuki, Takeda, Hamamoto, Zako, Kawabata and Miyagawa",2011,,8,
"Jay, Bain, Deren, Sacheli and Cramer",2011,10.1152/ajpregu.00257.2011,14,
"Jouris, Mcdaniel and Weiss",2011,,3,8
"Kakitsuba, Mekjavic and Katsuura",2011,10.2114/jpa2.30.161,15,
"Kenny, Schissler, Stapleton, Piamonte, Binder, Lynn, Lan and Hardcastle",2011,10.1080/15459624.2011.596043,10,
"Kim, Coca, Williams and Roberge",2011,10.1080/15459624.2011.584840,8,
"Kim, Coca, Williams and Roberge",2011,10.1080/00140139.2011.583362,6,
"Kim, Shin, Lee, Min and Yang",2011,10.1089/jmf.2010.1534,13,
"Kolodyazhniy, Spati, Frey, Gotz, Wirz-Justice, Krauchi, Cajochen and Wilhelm",2011,10.1177/0748730410391619,16,
"Lee, Nakao and Tochihara",2011,10.1007/s00421-011-1882-7,8,
"Lee, Nakao, Takahashi, Son, Bakri and Tochihara",2011,10.2486/indhealth.ms1291,8,
"Lee, Wakabayashi, Wijayanto, Hashiguchi, Saat and Tochihara",2011,10.1007/s00421-011-1912-5,20,
"Lericollais, Gauthier, Bessot and Davenne",2011,10.1111/j.1600-0838.2010.01172.x,20,
