Author,Year,DOI,TOTAL,Male,Female,G1,G1_n,G1_P1,G1_P2,G2,G2_n,G2_P1,G2_P2,G3,G3_n,G3_P1,G3_P2,G4,G4_n,G4_P1,G4_P2
"Amorim, Yamada, Robergs and Schneider",2010,10.1139/h10-040,10,8,2,OCP,2,Pill,,,,,,,,,,,,,
"Cain, Dennison, Zeitzer, Guzik, Khalsa, Santhi, Schoen, Czeisler and Duffy",2010,10.1177/0748730410374943,56,28,28,EUM,28,Not_Controlled,,,,,,,,,,,,,
"Casa, Stearns, Lopez, Ganio, Mcdermott, Walker Yeargin, Yamamoto, Mazerolle, Roti, Armstrong and Maresh",2010,10.4085/1062-6050-45.2.147,17,9,8,Not_Reported,,,,,,,,,,,,,,,
"Chen, Shih and Chi",2010,10.1177/0018720810376514,24,12,12,Not_Reported,,,,,,,,,,,,,,,
"Coca, Roberge, Williams, Landsittel, Powell and Palmiero",2010,10.1080/15459620903455722,10,8,2,Not_Reported,,,,,,,,,,,,,,,
"Cochrane, Stannard, Firth and Rittweger",2010,10.1111/j.1475-097X.2010.00931.x,10,5,5,Not_Reported,,,,,,,,,,,,,,,
"Daniusevi?i?t?, Brazaitis, Skurvydas, Sipavi?ien?, Linonis, Pie?aitien? and Eimantas",2010,,9,,9,EUM,9,Follicular,Ovulation,,,,,,,,,,,,
"Dewhurst, Macaluso, Gizzi, Felici, Farina and De Vito",2010,10.1007/s00421-009-1245-9,27,,27,Not_Reported,,,,,,,,,,,,,,,
"Domitrovich, Cuddy and Ruby",2010,10.4085/1062-6050-45.6.594,7,3,4,Not_Reported,,,,,,,,,,,,,,,
"Ftaiti, Kacem, Jaidane, Tabka and Dogui",2010,10.1016/j.apergo.2010.01.008,7,,7,EUM,7,Mid_Follicular,,,,,,,,,,,,,
"Gompper, Bromundt, Orgul, Flammer and Krauchi",2010,10.3109/07420528.2010.520786,21,,21,OCP,10,Not_Reported,,EUM,11,Luteal,,,,,,,,,
"Greiner, Clegg, Walsh and White",2010,10.1007/s00421-010-1352-7,8,5,3,Not_Reported,,,,,,,,,,,,,,,
"Grimaldi, Agati, Pierangeli, Franceschini, Guaraldi, Barletta, Vandi, Cevoli, Plazzi, Montagna and Cortelli",2010,10.3109/07420528.2010.504907,10,7,3,Not_Reported,,,,,,,,,,,,,,,
"Hansen, Geving and Reinertsen",2010,10.1080/10803548.2010.11076864,14,13,1,Not_Reported,,,,,,,,,,,,,,,
"Hostler, Bednez, Kerin, Reis, Kong, Morley, Gallagher and Suyama",2010,10.3109/10903120903524963,18,16,2,OCP,2,Not_Controlled,,,,,,,,,,,,,
"Hostler, Reis, Bednez, Kerin and Suyama",2010,10.3109/10903121003770654,18,14,4,Not_Reported,,,,,,,,,,,,,,,
"Ichinose-Kuwahara, Inoue, Iseki, Hara, Ogura and Kondo",2010,10.1113/expphysiol.2010.053710,37,17,20,EUM,20,Mid_Follicular,,,,,,,,,,,,,
"Isojarvi, Keinanen-Kiukaanniemi, Kallio, Kaikkonen, Jamsa, Korpelainen and Korpelainen",2010,10.1249/MSS.0b013e3181cb8331,40,14,26,Not_Reported,,,,,,,,,,,,,,,
"Jay, Ducharme, Webb, Reardon and Kenny",2010,10.1152/ajpregu.00546.2009,56,33,23,Not_Reported,,,,,,,,,,,,,,,
"Malan, Dawson, Goodman and Peeling",2010,10.1016/j.jsams.2009.03.009,10,5,5,Not_Reported,,,,,,,,,,,,,,,
"Mora-Rodriguez, Del Coso, Hamouti, Estevez and Ortega",2010,10.1007/s00421-010-1436-4,20,14,6,Not_Reported,,,,,,,,,,,,,,,
"Nolte, Noakes and Van Vuuren",2010,10.1249/MSS.0b013e3181d6f9d0,15,13,2,Not_Reported,,,,,,,,,,,,,,,
"Pritchett, Bishop, Yang, Pritchett, Green, Katica and Del Pozzi",2010,10.1007/s00421-010-1371-4,7,3,4,Not_Reported,,,,,,,,,,,,,,,
"Silva, Wang, Ronda, Wyatt and Duffy",2010,10.1093/sleep/33.4.481,20,10,10,EUM,5,Not_Reported,,Not_Reported,5,,,,,,,,,,
"Stachenfeld, Yeckel and Taylor",2010,10.1249/MSS.0b013e3181d8cf68,7,,7,EUM,7,Late_Luteal,,,,,,,,,,,,,
"Stein, Makkink and Vincent-Lambert",2010,10.3109/10903120903349747,19,15,4,Not_Reported,,,,,,,,,,,,,,,
"Ali, Gardiner, Foskett and Gant",2011,10.1111/j.1600-0838.2009.01055.x,10,,10,EUM,10,Luteal,,,,,,,,,,,,,
"Bagley, Judelson, Spiering, Beam, Bartolini, Washburn, Carney, Muloz, Yeargin and Casa",2011,,25,13,12,Not_Reported,,,,,,,,,,,,,,,
"Buono, Tabor and White",2011,10.1152/ajpregu.00228.2010,14,8,6,Not_Reported,,,,,,,,,,,,,,,
"Cahill, Kalmar, Pretorius, Gardiner and Giesbrecht",2011,10.1113/expphysiol.2010.054973,7,6,1,Not_Controlled,1,,,,,,,,,,,,,,
"Cathcart, Murgatroyd, Mcnab, Whyte and Easton",2011,10.1007/s00421-011-1831-5,26,24,2,Not_Reported,,,,,,,,,,,,,,,
"Colburn, Suyama, Reis, Morley, Goss, Chen, Moore and Hostler",2011,10.3109/10903127.2010.545482,25,23,2,Not_Reported,,,,,,,,,,,,,,,
Conrado and Munin,2011,10.1111/j.1473-2165.2010.00537.x,42,,42,Not_Reported,,,,,,,,,,,,,,,
"Corbalan-Tutau, Madrid, Ordovas, Smith, Nicolas and Garaulet",2011,10.3109/07420528.2011.574766,70,,70,Not_Reported,,,,,,,,,,,,,,,
"Coso, Hamouti, Ortega, Fern�ndez-El�as, Mora-Rodr�guez, Coso, Fern�ndez-El�as and Mora-Rodr�guez",2011,,28,22,6,Not_Reported,,,,,,,,,,,,,,,
"Cotie, Geurts, Adams and Macdonald",2011,10.1038/sc.2010.52,7,6,1,Not_Reported,,,,,,,,,,,,,,,
"Cui, Shibasaki, Low, Keller, Davis and Crandall",2011,10.1007/s10286-011-0126-6,11,7,4,Not_Reported,,,,,,,,,,,,,,,
"Duffield, Bird and Ballard",2011,,8,6,2,Not_Reported,,,,,,,,,,,,,,,
"Duffy, Cain, Chang, Phillips, M�nch, Gronfier, Wyatt, Dijk, Wright and Czeisler",2011,10.1073/pnas.1010666108,157,105,52,Not_Reported,,,,,,,,,,,,,,,
"Eijsvogels, Veltmeijer, Schreuder, Poelkens, Thijssen and Hopman",2011,10.1038/ijo.2010.277,93,48,45,Not_Reported,,,,,,,,,,,,,,,
"Freedman, Kruger and Tancer",2011,10.1097/gme.0b013e31820ccae9,32,,32,Amenorrheic/Oligomenorrheic,42,,,,,,,,,,,,,,
Gagnon and Kenny,2011,10.1113/jphysiol.2011.219220,18,9,9,EUM,3,Follicular,,OCP,6,Placebo,,,,,,,,,
"Hayashi, Honda, Miyakawa, Fujii, Ichinose, Koga, Kondo and Nishiyasu",2011,10.1152/japplphysiol.00010.2010,13,10,3,Not_Reported,,,,,,,,,,,,,,,
"Heikens, Gorbach, Eden, Savastano, Chen, Skarulis and Yanovski",2011,10.3945/ajcn.110.006270,112,38,74,EUM,,Follicular,,Amenorrheic/Oligomenorrheic,,,,,,,,,,,
"Jouris, Mcdaniel and Weiss",2011,,11,3,8,Not_Reported,,,,,,,,,,,,,,,
"Lodde, Quidelleur, Igoho-Zephir, Eniafe-Eveillard, Choucroun, Dewitte and Baert",2011,,43,40,3,Not_Reported,,,,,,,,,,,,,,,
"Lohman, Bains, Lohman, Deleon and Petrofsky",2011,10.12659/msm.881921,10,5,5,Not_Reported,,,,,,,,,,,,,,,
"Lopez, Casa, Jensen, Demartini, Pagnotta, Ruiz, Roti, Stearns, Armstrong and Maresh",2011,,14,7,7,Not_Reported,,,,,,,,,,,,,,,
"Mora-Rodriguez, Ortega and Hamouti",2011,10.1007/s00421-010-1733-y,9,4,5,EUM,5,Not_Controlled,,,,,,,,,,,,,
"Nolte, Noakes and Van Vuuren",2011,10.1136/bjsm.2010.075507,20,16,4,Not_Reported,,,,,,,,,,,,,,,
"Scheer, Michelson, Frelinger, Evoniuk, Kelly, Mccarthy, Doamekpor, Barnard and Shea",2011,10.1371/journal.pone.0024549,12,6,6,Not_Reported,,,,,,,,,,,,,,,
"Shaharudin, Ghosh and Ismail",2011,,12,,12,EUM,12,Mid_Luteal,Mid_Follicular,,,,,,,,,,,,
Teunissen and Daanen,2011,10.3109/03091902.2011.554595,10,6,4,Not_Reported,,,,,,,,,,,,,,,
"Teunissen, De Haan, De Koning, Clairbois and Daanen",2011,10.1088/0967-3334/32/9/004,7,5,2,Not_Reported,,,,,,,,,,,,,,,
"Teunissen, Klewer, De Haan, De Koning and Daanen",2011,10.1088/0967-3334/32/5/005,7,4,3,Not_Reported,,,,,,,,,,,,,,,
"Tippet, Stofan, Lacambra and Horswill",2011,10.4085/1062-6050-46.1.55,7,,7,Not_Reported,,,,,,,,,,,,,,,
Tyler,2011,10.1088/0967-3334/32/10/003,11,8,3,Not_Reported,,,,,,,,,,,,,,,
"Xhauflaire-Uhoda, Mayeux, Quatresooz, Scheen and Pierard",2011,10.1111/j.1600-0846.2011.00523.x,20,14,6,Not_Reported,,,,,,,,,,,,,,,
